"event_ID","text","date","Year","type_of_event","non_royal_ties","tailored_entities"
1031,"Their Royal Highnesses the Prince and Princess of Wales gave a ball in the evening , to which the follow ing were invited , but some were unable to attend : -Their Royal Highuesses the Grand Duke and Grand Duchess of Mecklenburg - Strelitz , their Royal Highnesses Prince and Princess Christian of Schleswig - Holstein - Sonderbourg Augustenbourg , her Royal Highness Princess Louise , her Royal Highness the Duchess of Cambridge , bis Royal High pess the Duke of Cambridge , his Serene Highness the Prince and her Royal Highness the Princess of Teck , the Count and Countess de Paris , the Prince and Princess , de Joinville , his Royal Highness the Duke de Nemours , beri Royal Highness the Princess Marguerite , their Royal High nesses the Duke and Duchess de Chartres , the Duke de Penthièvre , his Royal Highness Duke Philip and her Impe rial Highness the Archduchess Therese of Würtemberg , his Serene Highness Prince Edward of Saxe - Weimar and the Countess Dornberg , his Serene Highness the Prince of Lein ingen , his Serene Highness Prince Philip of Saxe - Coburg Gotha , his Highness Prince Hassan , his Excellency the Da nish Minister ( General de Bulow ) and Madame de Bulow and Baroness de Bertouch , his Excellency the Greek Minister ( M. Brailas - Armeni ) and Madame and Mdlle . Brailas Arineni , his Excellency the United States Minister ( Mr. J. L. Motley ) and Mrs. and Miss Metley , his Excellency the Spanish Minister ( Don Rances y Villaneuve ) , his Excel lency the Swedish and Norwegian Minister ( Baron de Hochschild ) and Baroness de Hochschild , Princess Czerni- | cheff , Princess Marie Czernicheff , Princess Leon Czernicheff , Prince and Princess Soltykoff , Prince Giannetto Doria Pamphily , Prince Louis de Liechtenstein , the Duchess of San Arpino and Miss de Burgh , the Duke and Duchess Carac ciolo , the Marquis d'Azeglio , the Marquis and Marchioness de Caux , the Marquis de Canmont La Force , the Count and Countess Welles de Lavalette , the Count and Countess de Bechevet , the Count and Countess Lambert St. Croix , Count Maffei , Coant de Beaufort , Count Walewski , Count A. d'Oultremont , Count de St. Priest , Connt H.de Lambertze , Count E. de Lambertze , Count Kielmausegge , Count Nes selrode , Viscount Greffalhe , Baron and Baroness Gulden crone , his Excellency M. Van de Weyer and Madame and Miss Van de Weyer , M. and Madame de Treschow , Mr.and Mrs. Sanford , Madame de Girardin , Madame de Arcos , Mrs. Ives , M. de Lesseps , M. de Krause , Paul Mu surus Bey , the Duke of Norfolk , the Duchess of In verness , Duke and Dachess of Athole , Duke and Duchess of Roxburghe and Miss Dalton , Duke and Duchess of Marl borough and Lady Rosamond S. Churchill , Duke and Duchess of Buccleuch and Lady Margaret Scott , Dake and Duchess of Richmond and Lady Caroline G. Lennox , Duke and Duchess of Sutherland , Duke and Duchess of Manches - i ter , Dake and Duchess of Abercora and Lady Georgiana Hamilton , Duchess - Dowager of St. Albans and Lady Diana Beauclerk , the Marquis and Marchioness of Huntly , Marquis and Marchioness of Queensbury , Marquis and Mar chioness of Westminster , Marquis and Marchioness of Bath , Marquis and Marchioness of Blandford , Marquis and Mar chioness of Lansdowne , Marquis and Marchioness of Carmar then , Marquis and Marchioness of Hamilton , Marchioness of Ely , Maria Marchioness of Ailesbury , Marquis of Hartington , Marquis of Bowmont , Marquis of Lorne , Marquis of Wor cester , Marquis of Ormonde , Earl and Countess of Kim berley and Lady Alice Wodehouse , Earl and Countess Spencer , Earl and Countess of Cork , Earl and Countess : Granville , Earl and Countess of Shrewsbury , Earl and Countess of Winchilsea and Lady Constance Finch Hatton , Earl and Countess of Sandwich and Lady Emily Montagu , Earl and Countess of Morton , Earl aud Countess of Tan kerville , Earl and Countess of Sefton , Earl and Countess of Carysfort , Earl and Countess of Craven , Earl and Countess Brownlow and Lady Gertrude Talbot , Earl and Countess i Somers and Lady Isabella Cocks , Earl and Countess Vaue and Lady Frances Vane Tempest , Earl and Countess of Ellesmere , Earl and Countess of Kinnoull and Lady Constance Hay , Earl and Countess of Listowel , Earl and Countess of Yarborough , Earl and Countess Cowley and Lady Feodore Wellesley , Earl and Countess of Dartrey and Lady Mary Dawson , Earl and Countess of March , Earl and Countess of Dalkoith , Earl of Bective and Lady Madeleine Taylour , Earl Cadogan and Lady Mary Cadogan , Countess of Mayo , Countess of Desart , Earl and Countess of Macclesfield and the Ladies Parker , Earl and Countoss of Mount - Edgcumbe , Countess Dowager . Mount - Edgeumbe , and Lady Ernestine Edgcumbe , Earl and Countess of Mount - Charles , Earl of Rosebery , Earl of Gosford , Earl Cowper , Earl of Desart , Clonmell , Earl of Wicklow , Earl of Camperdown , Earl of Morley , Earl of Roden , Earl of Offaly , Earl of Ilchester , Viscount and Viscountess Sydney , Major - General Viscount and Viscountess Bridport and the Hon . Miss Hood , Viscount and Viscountess Bar rington and the Hon . Florence Barrington , Viscount and Viscountess Andover , Viscount and Viscountess Chelsea , Viscount and Viscountess Folkestone , Viscount and Viscountess Grey de Wilton , Viscount and Vicountess Holmesdale , Viscount and Viscountess Royston , Viscount and Viscountess Downę , Viscount and Viscountess Dangan , Viscount and Viscountess Hood , Viscount and Viscountess Walden , Viscount and Viscountess de Vesci and Hon . Miss Vesey , Viscount and Viscountess Castlerosse , Viscountess Clifden , Viscount Crichton , Viscount Newry , Viscount Dapplin , Viscount Hinchingbrook , Viscount Macduff , Viscount Valencia , Lord and Lady Dufferin , Lord and Lady Wentworth and Miss Heriot , Lord and Lady Ave land , Lord and Lady Rendlesham , Lord and Lady Londes borough , Lord and Lady Walsingham and Hon . Emily de Grey , Lord and Lady Churchill , Lord and Lady Suffield , Lord and Lady Fitzhardinge and Hon . Eva Giffard , Lady Holland and Miss Fox , Lord and Lady Alice Kenlis , Lord and Lady Cecilia Bingham , Lord and Lady Alexander Gordon Lennox , Lord and Lady Alfred Paget , Miss Paget , and Hon . Eva Macdonald , Lord and Lady Charles Bruce , Lord and Lady Archibald Campbell , Lady George Paget , Major - General Lond Henry Percy , Lord Henry Gordon Len pox , Lord George G. Lennox , Lord Algernon G. Lennox , Lord Francis G. Lennox , Lord Henry Somerset , Lord Arthur Somerset , Lord Albert L. Gower , Lord Ronald L. Gower Lord Claad J. Hamilton , Lord George Hamilton , Lord William Beresford , Lord Arthur Hill , General Lord Strath nairn , Lord Harris , Lord Calthorpe , Lord Langford , Wallscourt , Lord Sandys , Lord Kilmarnock , Lord Rossmore , Lord Carington , Lord Garlies , Right Hon . W. E. and Mrs. Gladstone and Miss Gladstone , Right Hon . B. Disraoli and Viscountess Beaconsfield , Right Hon . Chichester Fortescue and Frances Countess Waldegrave , the Lord Chief Justice , Colonel the Hon . D. and Lady Elizabeth de Ros , Colonel the Hon . A. and Mrs. Hardinge , Lieutenant - Colonel the Hon . H. and Mrs. Byng , Lieutenant Colonel the Hon . H. and Mrs. Campbell , Lieutenant Colonel and the Hon . Mrs. Loyd Lindsay , Lieutenant Colonel the Hon . W. Coke , Captain the and Lady , Agnita Montagu , Captain the Hon . A. Fulke and Lady Violet Greville , Captain the Hon .","1870-07-05-012_col_1",1870,"travel","Countess of Kim","Countess of Kim"
152918,"The Service was conducted by the Revd . Canon Edgar Sheppard , D.D. ( Sub - Dean of His Majesty's Chapels Royal and Domestic Chaplain ) and the Bishop of Truro preached the Sermon .","1920-03-8",1920,"religious","Bishop of Truro","Bishop of Truro"
153685,"The Earl Curzon of Kedleston ( Secretary or State for Foreign Affairs ) was present , and had an audience of The King , and the Earl of Onslow ( Lord in Waiting ) , the Master of the Household , Major - General Sir John Hanbury Williams ( Marshal of the Diplomatic Corps ) , Sir Edward Wallington and Captain Sir Charles Cust , Bt . , R.N. ( Groom and Equerry in Wait ing ) , and the Deputy - Master of the Household were in attendance .","1920-10-15",1920,"in_waiting","Earl of Onslow ( Lord in Waiting )","Earl of Onslow ( Lord in Waiting )"
1103,"Royal Highness Duke Philip and her Imperial Highness the Archduchess Therèse of Würtemberg , his Serene Highness Princo Edward of Saxe - Weimar and the Countess Dornberg , his Serene Highness Prince Philip of Coburg , his Highness the Nawab Nazim of Bengal and the Princes Ali Kudr - Hassan - Bahadoor and Soliman - Kudr - Wahid - Ali Babadoor , his Highness the Rajah of Kolapore , his Excel lency the Swedlish Minister ( Baron Hochschild ) and Barpuess Hochschild , his Excellency the Baravian Minister ( Count de Hoppesch ) , his Excellency the Brazilian Minister . ( Chevalier de Almeida Areas ) , his Excellency the Saxon Minister ( Baron Fabrice ) , his Excellency the Netherlands Minister ( Barop do Gevers ) , and Baro ness de Gevers , his Excellency the Belgian Minis ter ( Baron de Beaulieu ) and Baroness de Beaulieu , his Excellency the Italian Minister ( Chevalier Cadorna ) , his Excellency the Spanish Minister ( DL . Rancès y Villa nueva ) , his Excellency the Portuguese Minister ( Viscount de Seisal ) and Mile : Correa de Scisal , his Excellency the Honduras Minister ( 31. Gutierrez ) and Madame Gutierrez , his Excellency the Argentine Minister ( ML . Balcarce ) and Madame Balcarce , his Excelleppy the Salvador Minister ( Gene ral Negrete ) , his Excellency the Persian Minister ( General ) Hadji Moskin Khan ) , his Excellency the Peruvian Chargé d'Affaires ( Lieutenant - Colonel Almopte ) , M. and Madame de Fosselaert , M. and Madame Gosch , M. Spiridion Marcoran , Count Maffei , M. A. de Karuebeck , M. F. and Madame de Figanièro and Mdlie . de Figanière , Don E. Diaz del Moral , Count Steenbock , Mr. B. Moran , M. and Madame J. Pa reira de Andrada , General Mahomel Aga , Count A. d'Oultremont , Baron and Baroness de Guldencrone , Baron Marochetti , Princess Czernichet , Princess Marie Czerni cheff , Princess Leon Czegnichoff , Prince Gianetto Doria Pamphily , Marquis and Marquise de Caux , M. and Madame de Treschow , Mr. and Mrs. Sauford , Madame de Girar din , M. and Madame Gudia and Mdlle . Gudin , M. and Ma damo d'Epinay , CoyotNesselrode , Count de Beaufort , Count de St.Priest , Count G. de Lambertye , Count H.de Lambertye , Count Kielmansegge , Viscount Greffulhe , Baron Von Donop Wobbel , Baron de Charette , M. de Archbishop of York and Mrs. Thomson , the Dublin and the Hon . Mrs. Trench , the Duke and Duchess of Sutherland . the Duko and Duchess of Grafton , the Duko and Duchess of Athole , the Duke and Duchess of Beaufort , the Duke and Duchess of Manchester , the Duchess of Northumberland , the Duke and Duchess of Cloveland and Lady Mary Primrose , the Duchess of Inver nesa , the Dowager Duchess of Beaufort , the Duke of Devonshire , the Duke of Rutland , the Duke of Leinster , the Duke and Duchess of Abercorn and Lady Georgiana Hamilton , the Duke and Duchess of Montrose , the Duke and Duchess of Buckingham , the Duke and Duchess of Somerset , the Duke of Leeds , the Marquis and Marchioness of Ailesbury , the Marquis and Marchioness of Hamil ton , the Marquis and Marchioness of Blandford , the Marquis and Marchioness of Queensberry , the Mar quis and Marchioness of Drogheda , the Marquis and Marchioness of Exeter , the Marquis and Marchioness Camden , the Marquis and Marchioness of Clanricarde , the Marquis and Marchioness of Bristol , the Marquis and Mar chioness of Kildare , the Marchioness of Ormonde and Lady Mary Butler , the Marchioness ( slaria ) of Ailesbury , the Dowager Marchioness of Downshire , the Marquis of Down shire , the Marquis of Sligo , tho Marquis of Hartington , the Marquis of Winchester , the Earl and Countess of Bess borough , Earl and Countess Granville , Earl and Countess Spencer , Earl and Countess of Malmesbury , Earl and Countess of Carnarvon , Earl and Countess of Shaftesbury and the Ladies Ashley , Earl and Countess of Scarborough and Lady Lilian Lumley , Earl and Countess of Errol , Countess of Kinuoull and Lady Constance Hay , Earl and Countess Stanhope , Earl and Countess of Hardwicke , Earl and Countess of Portarlington , Earl and Countess of Home and the Ladies Home , Earl and Countess of Carysfort , Earl and Countess of Rosslyn , I Earl and Countess Grey and Miss Grey ; Earl of Gozford , Earl and Countess of Harewood , and Lady C. Lascelles , Earl and Countess of Verulam and the Ladies Grimston , Earl and Countess Beauchamp , Earl and Countess Vane and Lady . Frances Vane , Earl and Countess of Durham , Earl and Countess of Mount Charles , Earl and Countess of Yarborough , Earl and Countess of Ellesmere , Earl and Countess of Dartrey and Lady Mary Dawsou , Earl and Countess of Feversham , Earl and Countess of March , Earl and Countess of Dalkeith , Earl and Countess Percy , Earl and Countess of Sheffield , Earl and Countess of Clanearty , Earl and Countess of Caithness , Earl and Countess of Long Earl of Camperdown , Earl of Morley , Earl of Devon , Earl of Abingdon and Ladies Bertie , Earl Somers and Lady Isabella Somers Cocks , Earl of Bectivo aud Ladies Taylour , Earl Cadogan and Lady Mary , Earl of Powis and Lady Harriet Herbert , Earl of Chesterfield , Earl of Jersey , Earl of Ilehester , Earl Annesley , Earl of Desaat , Earl of Clonmell , Earl of Wick low , Earl of Lucan , Earl of Zetland , Earl Bathurst , Earl of Roden , Viscount and Viscountess Sydney , Viscount and Viscountess De Vesci and Hon . Misses Vesey , Viscountand Viscountess Halifax and Hon . Misses Wood , Viscount and Viscountess Bury , Viscount and Viscountess Grey de Wil 1 too , Viscount and Viscountess Holmesdale ,, Viscount and Viscountess Pollington , Viscount Hawarden and Hon . Misses Maude , Viscount Crichton , Viscount Dapplin , Vis count Macduff , Viscount Hardinge , the Bishop of Limerick and Mrs. Graves , the Bishop of London and Mrs. Jackson , the Bishop of Peterborough , the Bishop of St. David's , the Bishop of Worcester and Bishop of Glocester and Mrs. Lady Chelmsford , Lord and Lady","1870-07-08-005_col_1",1870,"travel","Marquis Camden","Marquis Camden"
1883,"WINDSOR CASTLE , MARCH 15 . The dinner party yesterday included Her Majesty the Queen of the Netherlands , their Royal Highnesses Prince and Princess Christian and Princess Louise , the Duchess of Sutherland ( Mistress of the Robes ) , Baroness de Pabst de Bingerden ( Lady in Waiting to the Queen of the Netherlands ) , his Excellency the Netherlands Minister , tha Earl and Countess of Clarendou , Viscount Sydney ( Lord Chamberlain ) , and Baron Schimmelpenninck Van der Oye . Her Majesty's private band played in the Drawing room","1870-03-16",1870,"leisure","their Royal Highnesses Prince Christian","their Royal Highnesses Prince Christian"
150461,"ST . JAMES'S PALACE , S.W. , Nov. 30 . The Prince of Wales received the Maharaja Gaekwar of Baroda this morning .","1920-12-1",1920,"other","Maharaja Gaekwar of Baroda","Maharaja Gaekwar of Baroda"
151986,"WINDSOR CASTE , JUNE 14 . The Archbishop of Capetownind Mrs. Carter havo left the Cadle , and the Dico and Duchess of Roxburghe , the Marquis o Soveral , the Marquis Marchionos o : Londonderry and the Lady Mauroon Stowas , the Marquis and Marchionou of Crowo , the Eel and Countess of Mur and Kollie , the Earl axl Countess of Chestorfield , the Earl of Durhan tho Viscount Farquhar , the Viscount and Visounters Sand hurt , the Lord Horbert VaneTempost , the Lord and Lady Wolverton ad the Hon . Marion Glyn , and the Lord Reelstoko have arrived .","1920-06-15",1920,"travel","Viscount","Viscount"
1117,"J. and Lady Louisa Howard and Miss Howard , the Hon . C. Cust : and Mrs. Cust and the Misses Cust , the Hon . C. L and Lady Agues Wood , the Han . D. and Mrs. Mon ' son , the Hon . Lucy Kerr , the Hon . Mrs. W. Grey , Captain the Hon . G. and Lady Maria Fitzclarence , Captain the Hon . R. and Mrs. Grosrenor , Captain the Hon . C. and Mrs. Molyneux , Captain and the Hon . Mrs. S. Dawson Damer , Captain the Hon . R. Talbot , Captain the Hon . W. Carington , Captain and Mrs. Keith Fraser , Captain and Mrs. J. R. Lane Fox , Captain and Mrs. Walrond Clarke , Captain and Mrs. Harris , Cap tain and Mrs. Shaw , Captain D. Orichton , Captain G. Johnstone , Captain Batchelor , Captain Chaplin , Captain Cunninghame , Mr. Brandling and the Countess of Jersey and Lady Caroline Villiers , Mr. and Laly Augusta Sturt , Tr . and Lady E. St. Aubyo , Lady C. Schreiber and Miss Sir W. and Lady Knollys and the Sir W. and Lady Dunbar , Sir F. and Lady Arrow , Sir Bartle and Lady Frere , Sir E. and Lady Perry , Sir J. and Lady Shaw Lefevre and the Misses Lefevre , Sir D. and Lady Le Marchant and Miss Le Marchatit , Sir C. and Lady Lyell , Sir Benjamin and Lady Brodie , Sir H. and Lady Hoare , Sir H. and Miss Holland , Sir J. and Lady Rose , Sir Ivor and Lady Cornelia Guest , Sir H. and Ialy Thomp soo , Sir R. and Lady Laura Palmer and Miss Palmer , Sir P. and Lady Colquhoun , Sir Watkin and Lady W. Wynn , Sir A. and Lady Fairbairn , Sir K. Alcock and Lady and Miss Alcock , Sir J. and Lady Eateson and Misses Bateson , Sir C. Wheatstone , Sir J. Karslake , Sir F. Pollock , Sir H. Pelly , Sir F. Des Vaux , Sir C. Russell , Sir C. Legard , Sir M. Costa , Sir F. Johustone , the Chaplain - General and Miss Alice Greig , the Dean of Christchurch and Mr. and Misses Liddell , the Sub - Dean of the Chapel Royal , the Rev. W. L. Onslow , the Rev. C. F. and Mrs. Tarver , the Rev. F. C. Hope Grant , the Rev. R. Duckworth , the Itev . W. Rogers , the Rev. W. A. W. Keppel , Mrs. and Miss Keppel , Dr. S. Birch , Dr. Armstrong . Dr. Acland and Mrs. Acland , Dr. Chambers and Mrs. Chambers , Mr. Bence Jones and Lady Millicent and the Misses Jones , Dr. Gream , Dr. Quin , Pro fessor Fawcett , M.P. , and Mrs. Fawcett , Professor Tyndall , Professor Huxley , Professor Owen , Mr. and Lady Eleanor Honeage , Mr. and Mrs. Algernon West , Mr. and Mrs. H. Fisher , Mr. and Lady Adela Larking , Mr. and Lady Rose Weyall , Mr. and Mrs. R. Redgrave , Mr. and Mrs. E. Bowring , Mr. and Mrs. T. Fairbairn and Bliss Fairbairn , Mr. and Mrs J. Pinder , Mr. and Mrs. Warren De la Rue , Mr. and Mrs. P. A. Pickering , Mr.and Mrs. A. White , Mir . Samuda , M.P. , and Mrs. Samuda , Mr. Mfundella , M.P. , and Mrs. Mundella , Mr. Maguire , M.P. , and Mrs. Maguire , Mr. and Mrs. T. B. Alston , Mr. and Mrs. Lock and the Misses Lock , Mr. and and the Alisses Bagge , Mr. W. H. and Lady Emily Dyke , Mr. and the Hon . Mrs. M. Ingram , Mr. and Mrs. G. Forhes , Mr. and Mrs. H. Kingscote , Mr. and Mrs. Sloane Stanley , Mrs. Laird , Mr. V. Harcourt , Mr. C. Haw kins , Mr. J. Fowler , Mr. T. Baring , M.P. , Mr. W. Glad stone , M.P .. Mr. J. W. Bateman , Mr. W. G. Anderson , Mr. W. H. Keppel , Tr . A. Holzmann , Mr. H. Sahl , Mr. J. Clay , M.P. , Mr. P. Le Neve Foster , Mir . II . Thring , Mr. J. Boehm , Mr. V. I'rinseps , Mr. Durham , Mr. Noble , Mr. W. Boxall , Mr. F. Leighton , Afr . D. Galtou , Mr. G. Shaw - iefevre , M.P. , Mr. F. F. Courtenay , Mr. H. Chaplin , Mr. A. Hammond , Mr. Graham Vivian , Mr. C. Barington , Mr. Sanford , Mr. G. Stirling , Mr. Brier ley , Mr. Cunlite Brooks , M.P. , Mr. M. Corry , Mr. Guest , Mr. C. Pellegrini , Mr. H. Farquhar , dr . Augustus S. Lum ley , Mr. Ion Hamilton , M. P. , Mr. L. Oliphant , Mr. Wood rolfe , Mr. A. Cockerell , Mr. Snart , Mr. C. Svkes , M.P. , Mr. Cecil Boothby , Mr. T. Bowies , Mr. A. B. Mitford , Mr. F. Greenwood , Mr. E. Trederoft , Mr. De Burgb , Mr. P. Doyle , Mr. F. Delaconie , Mr. Ward Braham , Mr. Weguelin , Mr. and Mrs. C. Chaplin , Mr. and Mrs. C. Gurney , Mr. J. and Lady E. St. Anbyu , Mr. and Mrs. Morier , Mr. and Lady Dorothy Nevillo and Miss Neville , Mr. and Mrs. I. Petre , Mr. Hambro , M.P. , and Hambro , Miss Doyle , Lady Caroline Cust , Baron Von Engil and Baron Von Both ( both in attendance on the Grand Duke and Grand Duchess of Mecklenburg Strelitz ) , Lady Susan Leslie Melville and Captain Hon . C. Eliot ( in attendance on Prince and Princess Christian ) , Laly Churchill and Colonel the Hon . A. Liddell ( in at tendance on Princess Louise ) , Lady Geraldine Somerset and Lieutenant - General Lord F. Paulet ( in attendance on the Duchess of Cambridge ) , Colonel , the Hon . J. Macdonald ( inattendance on the Duke of Cambridge ) , Colonel Airey ( in attendance on the Prince and Princess of Teck ) , Colonel Layard ( in attendance on the Nayab Nazim of Bengal ) , and Captain West ( in attendance on the Rajah of Kolapore . The whole of the Corps Diplomatique at present in London waited upon Earl Granville at the Foreign Office yesterday .","1870-07-08-005_col_2",1870,"travel","Misses Liddell","Misses Liddell"
435,"The Right Hon . W. E. Gladstone has left the Castle . The Duchess of Argyll visited the Queen and Princess Louise on Monday .","1870-12-01",1870,"travel","Right Hon . W. E. Gladstone","Right Hon . W. E. Gladstone"
173,"The Prince of Wales , attended by Major Grey , visited the Convict Establishment at Portland yesterday , when his Royal Highness was conducted through the establishment by Mr. Clifton ( the Governor ) and the various officers of the prison .","1870-04-21",1870,"head_nation","his Royal Highness","his Royal Highness"
