event_ID,text,date,Year,people
544,"The Dean of Windsor than read some appropriate prayers . The ceremony concluded by the choir singing an anthem , "" Blessed are the dead which die in the Lord . """,1870-12-15,1870,The Dean of Windsor
607,"Prince and Princess Christian returned to Frogmore on Thursday from visiting the Earl and Countess Vane , at Wynyard - park , Stockton .",1870-12-26,1870,Countess Vane|Stockton
227,"Her Majesty and their Royal Highnesses Princess Louise , Prince Arthur , and Princess Beatrice , attended Divine Ser vice at Osborne this morning .",1870-08-01,1870,Arthur
688,"The Princess of Wales , attended by the Marchioness of Carmarthen , drove out yesterday .",1870-02-08,1870,
251,"Prince Leopold drove out , attended by Mr. Duckworth . The Judge - Advocate - General had an audience of Her Majesty yesterday .",1870-08-05,1870,Duckworth
1239,Their Royal Highnesses Princess Victoria and Princess Maude of Wales arrived at Osborne yesterday .,1870-07-20,1870,
2580,The Rev. Dr. Taylor officiated .,1870-10-26,1870,Taylor
1480,"At the Levée held by the Prince of Wales on the Queen's behalf at St. James's Palace on Tuesday last , the Dean of Ely was presented , on his appointment , by the Bishop of Ely .",1870-03-04,1870,Dean|Ely
1946,"The Duke of Rexburghe , the Hon . Eva Macdonald , and Colonel H. and the Hon . Mra , Ponsonby dined with the Queen yesterday .",1870-03-21,1870,Eva Macdonald|Colonel H.|Ponsonby
1845,"The Princess of Wales , attended by the Hon . Mrz , Stonor , drove out yesterday ,",1870-03-12,1870,Stonor
1860,Prince Leopold arrived at the Castle shortly beforo 6 o'clock . Air . Duckworth was in attendance .,1870-03-14,1870,Leopold
1364,"Princess Louise and Princess Beatrice , attended by the Hou , Harriett Phipps , went out driving .",1870-06-14,1870,Louise|Hou|Harriett Phipps
2034,Her Majesty afterwards wout to look at the new church at Esher .,1870-03-31,1870,
859,"Prince Leopold walked in the grounds , attended by Mr. Duckworth .",1870-01-01,1870,Duckworth
785,The Prince and Princess of Wales drove out on Satur day .,1870-02-21,1870,
2304,"The Prince of Wales , accompanied by the Prince of Teck and Count Gleichen , and attended by Colonel Kingscote , Lieutenant - Colonel Teesdale , and Lieutenant - Colonel Ellis , was present on Saturday morning at the guard mounting parade in St. James's Park , in honour of the Queen's birth . day .",1870-05-30,1870,Kingscote|Ellis|Queen
2517,Her Majesty continues to receive very favourable ac counts of Princess Louis of Hesse and the infant Prince .,1870-10-15,1870,
916,Lieutenant - General the Hon . C. and Mrs. Grey had the honour of dining with the Queen and the Royal Family yesterday .,1870-01-13,1870,Grey|Queen
1326,The Rev. Dr. Caird arrived at the Castle .,1870-06-07,1870,Caird
1452,"The Princess of Wales afterwards drove out , atten - led by the Hon . Mrs. W. Grey .",1870-06-28,1870,W. Grey
1256,"The Prince of Wales , attended by Lieutenant - Colonel Ellis and Mr. Knollys , left Marlborough - house last evening for Grimsby , en route for Denmark .",1870-07-23,1870,Ellis|Knollys|Grimsby
459,"His Royal Highness Prince Arthur , attended by Colonel Elphinstone and Lieutenant Fitzgerald , Rife Brigade ; and the Right Hon . G. J. Goschen arrived at the Castle .",1870-12-05,1870,Arthur|Lieutenant Fitzgerald|G. J. Goschen
1332,"The Princess of Wales drove out yesterday , attended by the Hon . Mrs. Coke .",1870-06-08,1870,Coke
2361,"BALMORAL , Nov. 6 . The Queen and Princess Beatrice , attended by the Duchess of Roxburgh and Viscount Bridport , were present at Divine Service at the parish church of Crathie . The Rev. Dr. Taylor officiated .",1870-11-09,1870,Viscount Bridport|Taylor
2009,"The Queen , Princess Louise , Prince Leopold , and Princess Beatrice , and the Ladies and Gentlemen in Waiting , were present at Divine service , which was performed in the house by the Rev. R. Duckworth .",1870-03-28,1870,Louise|Prince Leopold|R. Duckworth
1094,The Prince and Princess of Wales drove out yesterday morning .,1870-07-08-005_col_1,1870,
30,Prince and Princess Christian remained to iuncheon .,1870-04-04,1870,
677,"The Princess of Wales , attended by the Marchionoss of Carmarthen , drove out .",1870-02-07,1870,
2104,The Earl of Camperdown and Colonel H. Lynedoch Gar diner have arrived at the Castle as Lord and Groom in Waiting .,1870-05-09,1870,H. Lynedoch Gar|Groom
2696,The Right Hon . G. J. Goschen and the Rev. Dr. Charteris had the honour of dining with Her Majesty .,1870-09-21,1870,G. J. Goschen|Charteris
2515,The Chancellor of the Exchequer and Mrs. Lowe arrived i in town from Nottingham yesterday afternoon and after wards proceeded to Caterham .,1870-10-14,1870,Lowe|Caterham
272,"Prince and Princess Philip of Würtemberg and the Prince of Leiningen visited the Queen , and remained to",1870-08-08,1870,Queen
1230,"The Prince of Wales , attended by Lord Alfred Hervey , Major Grey , and Mr. Fisher , went to the Agricultural - kall , Islington , on Saturday , and opened the Workmen's Inter national Exhibition on behalf of Her Majesty the Queen .",1870-07-18,1870,Alfred Hervey|Grey|Fisher
2288,"The King of the Belgians visited the Prince and Prin cess of Wales at Marlborough House , and remained to lun cheon .",1870-05-27,1870,Prin
776,"tary ) . At this meeting his Royal Highness the Prince of Wales was elected President of the Commission in the place of the late Earl of Derby , and his Koyal Highness Prince Christian and the Earl of Derby were elected members of the Commission .",1870-02-19,1870,
724,The Rev. George Prothero officiated .,1870-02-14,1870,George Prothero
2649,"BALMORAL , SEPT . 7 . The Queen went out in the morning , accompanied by Princess Louise , and Her Majesty drove in the afternoon , attended by Lady Churchill and the Hon . Mrs. H. Pon sonby .",1870-09-10,1870,Louise|Lady Churchill|H. Pon
487,"Their Royal Highnesses the Dake of Nemours , Princess Marguerite , and Princess Blanche of Orleans , and their Royal and Imperial Highnesses Count and Countess d'Eu visited the Queen to - day and remained to luncheon .",1870-12-08,1870,
1098,The invitations to the Garden Party given by the Prince and Princess of Wales at Chiswick on Wednesday afternoon included the following :,1870-07-08-005_col_1,1870,
1509,"Lord Napier of Magdala arrived at the Castle yesterday , and had the honour of dining with the Queen and the loyal Family . Lord Napier left for London this morning . BUCKINGHAM PALACE .",1870-03-09,1870,Queen
711,"The Earl of Bassborough ( Lord Steward ) and Lord Otho Fitzgerald ( Controller of the Household ) arrived at Os borne to - day , and presented Addresses to Her Majesty from both Houses of Parliament in reply to the Queen's Speech .",1870-02-11,1870,Steward|Otho Fitzgerald|Queen
643,"The Duke of Cambridge , attended by Colonel the Hon . James Macdonald , left Frognore yesterday to return to",1870-02-03,1870,The Duke of Cambridge|James Macdonald
2325,"Professor Lister , Surgeon Extraordinary to the Queen , arrived at the Castle .",1870-11-02,1870,
2526,"The Queen walked out with the Princess Louise , and drove uut in the afternoon with Prince Leopold , attended by the Hon . Lady Biddulph .",1870-10-17,1870,Prince Leopold|Lady Biddulph
1195,Their Royal Highnesses the Duke of Nemours and Princess Marguerite of Orleans and their Royal Highnesses the Count and Countess of Paris have left the Castle . Miss Van de Weyer has also left the Castle .,1870-07-14,1870,
1238,"The Queen drove out yesterday afternoon , accompanied by Princess Louise , and Her Majesty walked in the grounds this morning with Princess Loaise and Princess Beatrice .",1870-07-20,1870,Louise
2608,"Prince and Princess Christian , attended by Lady Susau Melville and Captain the Hon . C. Eliot , returned to Malvern on Saturday froin visiting Lady Emily Foley at Stoke Editi park , and left on Monday tor Dunrobin Castle , on a visit to the Duke ant Duchess of Sutherland .",1870-09-01,1870,Lady Susau Melville|C. Eliot|Lady Emily Foley|Dunrobin Castle
1374,"BALMORAL CASTLE , JUNE 16 . The Queen drove yesterday to the Linn of Dee , accom panied by Princess Beatrice , and attended by the Duchesa Dowager of Athole and the Hon . Eva Macdonald .",1870-06-18,1870,Linn|Beatrice|Eva Macdonald
1217,"The Queen walked in the grounds this morning , accom panied by Princess Louise .",1870-07-16,1870,
1260,"The Queen and Princess Louise , attended by Lady Water park , drove out yesterday afternoon .",1870-07-25,1870,Lady Water
410,"BALMORAL , AUG . 25 . The Queen drove out this morning , accompanied by Prince Leopold , and went out in the afternoon with Prin cess Beatrice .",1870-08-29,1870,Prince Leopold
1501,"WINDSOR CASTLE , MARCH 7 . The Queen , accompanied by Princess Louise , walked and drove in the grounds this morning . Prince Leopold also",1870-03-08,1870,Louise|Prince Leopold
2583,"The Princess of Wales drove out yesterday , attended by Viscountess Walden .",1870-10-26,1870,Viscountess Walden
1839,"Princess Louise , attended by Lady Churchill and Colonel Du Plat , was present at the Ball given by the Prince and Princess of Wales at Marlborough House .",1870-03-12,1870,Louise|Lady Churchill|Ball
211,"The Queen , accompanied by Princess Louise and Madam Van de Weyer , drove out yesterday afternoon , and Her Majesty walked and drove this morning with Princess Louise .",1870-04-30,1870,Louise|Louise
294,"The Right Hon . W. E. Forster arrived at Osborne yes terday , and had the honour of dining with the Queen and the Royal Family .",1870-08-08,1870,W. E. Forster|Queen
1919,"Her Majesty walked and drove in the grounds this morn ing , accompanied by Princess Louise .",1870-03-19,1870,Louise
763,"A meeting of the Governors of Wellington College was held on Wednesday in the Palace of Westminster . Pre sent , His Royal Highness the Prince of Wales ( President ) , his Grace the Duke of Wellington ( Vice - President ) , his Royal Highness the Duke of Cambridge , Earl Stanhoge , Viscount Everale , the Bishop of Winchester , Lord Chelma ford , Sir John Pattington , Lieutenant - General J. Peel , Sir J. Weir Hogg , Mr. T. Baring , M.P. , Mr. J. Walter , M.P. , Mr. Cox , and the Rev. G. R. Gleig , M.A. Colonel the Hon , W. P. Talbot Chon , secretary ) , Dr. Benson ( the Hoad Master ) , and Mr. Chance ( the secretary ) also attended .",1870-02-18,1870,Grace|the Duke of Cambridge|Earl Stanhoge|Viscount Everale|Chelma ford|John Pattington|J. Peel|J. Weir Hogg|T. Baring|M.P.|J. Walter|M.P.|Cox|G. R. Gleig|W. P. Talbot Chon|Benson|Chance
80,"Princess Blanche of Orleans has left the Castle , attended by Mdlle . St. Aubyn .",1870-04-11,1870,
771,"The suite in attendance consisted of the Dowager Duchess of Athole , the Hon . Caroline Cavendish , General the Hon . C. Grey , Viscount Bridport , Colonel the Hon . A. Har dinge , C.B. , Mr. Duckworth , and Mr. Sahl .",1870-02-19,1870,Caroline Cavendish|C. Grey|Viscount Bridport|Duckworth|Sahl
2272,His Royal Highness went afterwards to St. Bartholo mew's Hospital ( of which he is President ) and minutely inspected all the wards .,1870-05-24,1870,
177,"The Prince and Princess of Wales , accompanied by Prince Albert Victor , Prince George , and Princess Louise , and at tended by the Hon . Mrs. Stonor and Major Grey , returned to Marlborough - house yesterday from visiting the Queen at Osborue .",1870-04-21,1870,Prince George|Louise|Stonor|Major Grey
931,The Rev. G. Prothero preached the sermon .,1870-01-17,1870,G. Prothero
1132,Prince and Princess Christian dined with the Queen yes terday .,1870-07-11,1870,
193,"The Queen walked and drove this morning , accompanied by Princess Louise .",1870-04-26,1870,Louise
389,"The Prince and Princess of Wales , attended by the Hon . Mrs. Hardinge , dined with the Queen last night .",1870-08-24,1870,Hardinge
368,"WINDSOR OASTLE , AUG . 17 . The Queen and Princess Beatrice went out in the grounde this morning .",1870-08-18,1870,
2148,"The fourth carriage conveyed Viscountess Clifden ( Lady of the Bedchamber ) , the Earl of Bessborough ( Lord Steward ) , the Marquis of Ailesbury , K.G. ( Master of the Horse ) , and Major - General F. H. Seymour ( Equerry in Waiting ) .",1870-05-12,1870,Viscountess Clifden|Bedchamber|the Earl of Bessborough|Steward|Marquis|F. H. Seymour|Equerry
48,The Countess of Caledon has succeeded Lady Churchill as Lady in Waiting .,1870-04-06,1870,Lady Churchill|Lady
562,"WINDSOR CASTLE , DEC . 17 . Her Majesty's dinner party yesterday included her Royal Highness Princess Louise , the Marquis of Lorne , the Dean of Westminster and Lady Augusta Stanley , and the Dean of Windsor and the Hon . Mrs. Wellesley .",1870-12-19,1870,Majesty|Louise|Marquis|the Dean of Westminster|Lady Augusta Stanley|the Dean of Windsor|Wellesley
102,"The Princess of Wales drove out , attended by the Hon . Mrs. Stonor .",1870-04-12,1870,Stonor
420,"The Queen went out in the morning , attended by Lady Churchill .",1870-08-30,1870,Lady Churchill
1838,"BUCKINGHAM PALACE , MARCH 11 . The Royal dinner party last evening included their Royal Highnesses Prince and Princess Christian and Princess Louise , his Royal flighness the Duke of Cambridge , the Earl and Countess of Besshorough , the Earl of Derby , and the Earl of Clanwilliam .",1870-03-12,1870,Louise
691,The Queen went out driving .,1870-02-09,1870,
1478,The Right Hon . R. Lowe left the Castle this morning .,1870-03-04,1870,R. Lowe
2307,"In the afternoon the Princess of Wales drove out , accom panied by the Princess of Teck .",1870-05-30,1870,
1000,"Prince and Princess Christian , attended by Lady Susan Melville and Lieutenant - Colonel G. G. Gordon , dised with Monsieur and Madame Van de Weyer yesterday evening , at their residence in Arlington - street .",1870-07-01,1870,Lady Susan Melville|G. G. Gordon
964,Despatches were received yesterday at the Colonial - office from the Governors of the Cape of Good Hope and St ... Helena . Despatches were sent to the Goveruor - General of Canada .,1870-01-26,1870,
599,The Queen and their Royal Highnesses Princess Louise and Princess Beatrice attended Divine service at Whip pingham Church this morning .,1870-12-26,1870,
781,Prince and Princess Christian dined with Her Majesty in the evening .,1870-02-21,1870,
1390,Two rows of chairs ( one on each side of the centre ) were ap propriated to the sponsors and the Royal personages invited to be present .,1870-06-21,1870,
