"","event_ID","text","date","Year","people_regex"
"1",544,"The Dean of Windsor than read some appropriate prayers . The ceremony concluded by the choir singing an anthem , "" Blessed are the dead which die in the Lord . ""","1870-12-15","1870","The Dean of Windsor | The | Blessed | Lord"
"2",607,"Prince and Princess Christian returned to Frogmore on Thursday from visiting the Earl and Countess Vane , at Wynyard - park , Stockton .","1870-12-26","1870","Prince | Princess Christian | Frogmore | Thursday | Earl | Countess Vane | Wynyard | Stockton"
"3",227,"Her Majesty and their Royal Highnesses Princess Louise , Prince Arthur , and Princess Beatrice , attended Divine Ser vice at Osborne this morning .","1870-08-01","1870","Her Majesty | Royal Highnesses Princess Louise | Prince Arthur | Princess Beatrice | Divine Ser | Osborne"
"4",688,"The Princess of Wales , attended by the Marchioness of Carmarthen , drove out yesterday .","1870-02-08","1870","The Princess of Wales | Marchioness of Carmarthen"
"5",251,"Prince Leopold drove out , attended by Mr. Duckworth . The Judge - Advocate - General had an audience of Her Majesty yesterday .","1870-08-05","1870","Prince Leopold | Mr | Duckworth | The Judge | Advocate | General | Her Majesty"
"6",1239,"Their Royal Highnesses Princess Victoria and Princess Maude of Wales arrived at Osborne yesterday .","1870-07-20","1870","Their Royal Highnesses Princess Victoria | Princess Maude of Wales | Osborne"
"7",2580,"The Rev. Dr. Taylor officiated .","1870-10-26","1870","The Rev | Dr | Taylor of"
"8",1480,"At the Levée held by the Prince of Wales on the Queen's behalf at St. James's Palace on Tuesday last , the Dean of Ely was presented , on his appointment , by the Bishop of Ely .","1870-03-04","1870","At | Lev | Prince of Wales | Queen | St | James | Palace | Tuesday | Dean of Ely | Bishop of Ely"
"9",1946,"The Duke of Rexburghe , the Hon . Eva Macdonald , and Colonel H. and the Hon . Mra , Ponsonby dined with the Queen yesterday .","1870-03-21","1870","The Duke of Rexburghe | Hon | Eva Macdonald | Colonel H | Hon | Mra | Ponsonby | Queen"
"10",1845,"The Princess of Wales , attended by the Hon . Mrz , Stonor , drove out yesterday ,","1870-03-12","1870","The Princess of Wales | Hon | Mrz | Stonor"
"11",1860,"Prince Leopold arrived at the Castle shortly beforo 6 o'clock . Air . Duckworth was in attendance .","1870-03-14","1870","Prince Leopold | Castle | Air | Duckworth"
"12",1364,"Princess Louise and Princess Beatrice , attended by the Hou , Harriett Phipps , went out driving .","1870-06-14","1870","Princess Louise | Princess Beatrice | Hou | Harriett Phipps"
"13",2034,"Her Majesty afterwards wout to look at the new church at Esher .","1870-03-31","1870","Her Majesty | Esher"
"14",859,"Prince Leopold walked in the grounds , attended by Mr. Duckworth .","1870-01-01","1870","Prince Leopold | Mr | Duckworth"
"15",785,"The Prince and Princess of Wales drove out on Satur day .","1870-02-21","1870","The Prince | Princess of Wales | Satur"
"16",2304,"The Prince of Wales , accompanied by the Prince of Teck and Count Gleichen , and attended by Colonel Kingscote , Lieutenant - Colonel Teesdale , and Lieutenant - Colonel Ellis , was present on Saturday morning at the guard mounting parade in St. James's Park , in honour of the Queen's birth . day .","1870-05-30","1870","The Prince of Wales | Prince of Teck | Count Gleichen | Colonel Kingscote | Lieutenant | Colonel Teesdale | Lieutenant | Colonel Ellis | Saturday | St | James | Park | Queen"
"17",2517,"Her Majesty continues to receive very favourable ac counts of Princess Louis of Hesse and the infant Prince .","1870-10-15","1870","Her Majesty | Princess Louis of Hesse | Prince"
"18",916,"Lieutenant - General the Hon . C. and Mrs. Grey had the honour of dining with the Queen and the Royal Family yesterday .","1870-01-13","1870","Lieutenant | General | Hon | Mrs | Grey | Queen | Royal Family"
"19",1326,"The Rev. Dr. Caird arrived at the Castle .","1870-06-07","1870","The Rev | Dr | Caird | Castle"
"20",1452,"The Princess of Wales afterwards drove out , atten - led by the Hon . Mrs. W. Grey .","1870-06-28","1870","The Princess of Wales | Hon | Mrs | Grey"
"21",1256,"The Prince of Wales , attended by Lieutenant - Colonel Ellis and Mr. Knollys , left Marlborough - house last evening for Grimsby , en route for Denmark .","1870-07-23","1870","The Prince of Wales | Lieutenant | Colonel Ellis | Mr | Knollys | Marlborough | Grimsby | Denmark"
"22",459,"His Royal Highness Prince Arthur , attended by Colonel Elphinstone and Lieutenant Fitzgerald , Rife Brigade ; and the Right Hon . G. J. Goschen arrived at the Castle .","1870-12-05","1870","His Royal Highness Prince Arthur | Colonel Elphinstone | Lieutenant Fitzgerald | Rife Brigade | Right Hon | Goschen | Castle"
"23",1332,"The Princess of Wales drove out yesterday , attended by the Hon . Mrs. Coke .","1870-06-08","1870","The Princess of Wales | Hon | Mrs | Coke"
"24",2361,"BALMORAL , Nov. 6 . The Queen and Princess Beatrice , attended by the Duchess of Roxburgh and Viscount Bridport , were present at Divine Service at the parish church of Crathie . The Rev. Dr. Taylor officiated .","1870-11-09","1870","Nov | The Queen | Princess Beatrice | Duchess of Roxburgh | Viscount Bridport | Divine Service | Crathie | The Rev | Dr | Taylor of"
"25",2009,"The Queen , Princess Louise , Prince Leopold , and Princess Beatrice , and the Ladies and Gentlemen in Waiting , were present at Divine service , which was performed in the house by the Rev. R. Duckworth .","1870-03-28","1870","The Queen | Princess Louise | Prince Leopold | Princess Beatrice | Ladies | Gentlemen | Waiting | Divine | Rev | Duckworth"
"26",1094,"The Prince and Princess of Wales drove out yesterday morning .","1870-07-08-005_col_1","1870","The Prince | Princess of Wales"
"27",30,"Prince and Princess Christian remained to iuncheon .","1870-04-04","1870","Prince | Princess Christian"
"28",677,"The Princess of Wales , attended by the Marchionoss of Carmarthen , drove out .","1870-02-07","1870","The Princess of Wales | Marchionoss of Carmarthen"
"29",2104,"The Earl of Camperdown and Colonel H. Lynedoch Gar diner have arrived at the Castle as Lord and Groom in Waiting .","1870-05-09","1870","The Earl of Camperdown | Colonel H | Lynedoch Gar | Castle | Lord | Groom | Waiting"
"30",2696,"The Right Hon . G. J. Goschen and the Rev. Dr. Charteris had the honour of dining with Her Majesty .","1870-09-21","1870","The Right Hon | Goschen | Rev | Dr | Charteris | Her Majesty"
"31",2515,"The Chancellor of the Exchequer and Mrs. Lowe arrived i in town from Nottingham yesterday afternoon and after wards proceeded to Caterham .","1870-10-14","1870","The Chancellor of | Exchequer | Mrs | Lowe | Nottingham | Caterham"
"32",272,"Prince and Princess Philip of Würtemberg and the Prince of Leiningen visited the Queen , and remained to","1870-08-08","1870","Prince | Princess Philip of W | Prince of Leiningen | Queen"
"33",1230,"The Prince of Wales , attended by Lord Alfred Hervey , Major Grey , and Mr. Fisher , went to the Agricultural - kall , Islington , on Saturday , and opened the Workmen's Inter national Exhibition on behalf of Her Majesty the Queen .","1870-07-18","1870","The Prince of Wales | Lord Alfred Hervey | Major Grey | Mr | Fisher | Agricultural | Islington | Saturday | Workmen | Inter | Exhibition | Her Majesty | Queen"
"34",2288,"The King of the Belgians visited the Prince and Prin cess of Wales at Marlborough House , and remained to lun cheon .","1870-05-27","1870","The King of | Belgians | Prince | Prin | Wales | Marlborough House"
"35",776,"tary ) . At this meeting his Royal Highness the Prince of Wales was elected President of the Commission in the place of the late Earl of Derby , and his Koyal Highness Prince Christian and the Earl of Derby were elected members of the Commission .","1870-02-19","1870","At | Royal Highness | Prince of Wales | President of | Commission | Earl of Derby | Koyal Highness Prince Christian | Earl of Derby | Commission"
"36",724,"The Rev. George Prothero officiated .","1870-02-14","1870","The Rev | George Prothero of"
"37",2649,"BALMORAL , SEPT . 7 . The Queen went out in the morning , accompanied by Princess Louise , and Her Majesty drove in the afternoon , attended by Lady Churchill and the Hon . Mrs. H. Pon sonby .","1870-09-10","1870","The Queen | Princess Louise | Her Majesty | Lady Churchill | Hon | Mrs | Pon"
"38",487,"Their Royal Highnesses the Dake of Nemours , Princess Marguerite , and Princess Blanche of Orleans , and their Royal and Imperial Highnesses Count and Countess d'Eu visited the Queen to - day and remained to luncheon .","1870-12-08","1870","Their Royal Highnesses | Dake of Nemours | Princess Marguerite | Princess Blanche of Orleans | Royal | Imperial Highnesses Count | Countess | Eu | Queen"
"39",1098,"The invitations to the Garden Party given by the Prince and Princess of Wales at Chiswick on Wednesday afternoon included the following :","1870-07-08-005_col_1","1870","The | Garden Party | Prince | Princess of Wales | Chiswick | Wednesday"
"40",1509,"Lord Napier of Magdala arrived at the Castle yesterday , and had the honour of dining with the Queen and the loyal Family . Lord Napier left for London this morning . BUCKINGHAM PALACE .","1870-03-09","1870","Lord Napier of Magdala | Castle | Queen | Family | Lord Napier | London"
"41",711,"The Earl of Bassborough ( Lord Steward ) and Lord Otho Fitzgerald ( Controller of the Household ) arrived at Os borne to - day , and presented Addresses to Her Majesty from both Houses of Parliament in reply to the Queen's Speech .","1870-02-11","1870","The Earl of Bassborough | Lord Steward | Lord Otho Fitzgerald | Controller of | Household | Os | Addresses | Her Majesty | Houses of Parliament | Queen | Speech"
"42",643,"The Duke of Cambridge , attended by Colonel the Hon . James Macdonald , left Frognore yesterday to return to","1870-02-03","1870","The Duke of Cambridge | Colonel | Hon | James Macdonald | Frognore"
"43",2325,"Professor Lister , Surgeon Extraordinary to the Queen , arrived at the Castle .","1870-11-02","1870","Professor Lister | Surgeon Extraordinary | Queen | Castle"
"44",2526,"The Queen walked out with the Princess Louise , and drove uut in the afternoon with Prince Leopold , attended by the Hon . Lady Biddulph .","1870-10-17","1870","The Queen | Princess Louise | Prince Leopold | Hon | Lady Biddulph"
"45",1195,"Their Royal Highnesses the Duke of Nemours and Princess Marguerite of Orleans and their Royal Highnesses the Count and Countess of Paris have left the Castle . Miss Van de Weyer has also left the Castle .","1870-07-14","1870","Their Royal Highnesses | Duke of Nemours | Princess Marguerite of Orleans | Royal Highnesses | Count | Countess of Paris | Castle | Miss Van | Weyer | Castle"
"46",1238,"The Queen drove out yesterday afternoon , accompanied by Princess Louise , and Her Majesty walked in the grounds this morning with Princess Loaise and Princess Beatrice .","1870-07-20","1870","The Queen | Princess Louise | Her Majesty | Princess Loaise | Princess Beatrice"
"47",2608,"Prince and Princess Christian , attended by Lady Susau Melville and Captain the Hon . C. Eliot , returned to Malvern on Saturday froin visiting Lady Emily Foley at Stoke Editi park , and left on Monday tor Dunrobin Castle , on a visit to the Duke ant Duchess of Sutherland .","1870-09-01","1870","Prince | Princess Christian | Lady Susau Melville | Captain | Hon | Eliot | Malvern | Saturday | Lady Emily Foley | Stoke Editi | Monday | Dunrobin Castle | Duke | Duchess of Sutherland"
"48",1374,"BALMORAL CASTLE , JUNE 16 . The Queen drove yesterday to the Linn of Dee , accom panied by Princess Beatrice , and attended by the Duchesa Dowager of Athole and the Hon . Eva Macdonald .","1870-06-18","1870","The Queen | Linn of Dee | Princess Beatrice | Duchesa Dowager of Athole | Hon | Eva Macdonald"
"49",1217,"The Queen walked in the grounds this morning , accom panied by Princess Louise .","1870-07-16","1870","The Queen | Princess Louise"
"50",1260,"The Queen and Princess Louise , attended by Lady Water park , drove out yesterday afternoon .","1870-07-25","1870","The Queen | Princess Louise | Lady Water"
"51",410,"BALMORAL , AUG . 25 . The Queen drove out this morning , accompanied by Prince Leopold , and went out in the afternoon with Prin cess Beatrice .","1870-08-29","1870","The Queen | Prince Leopold | Prin | Beatrice"
"52",1501,"WINDSOR CASTLE , MARCH 7 . The Queen , accompanied by Princess Louise , walked and drove in the grounds this morning . Prince Leopold also","1870-03-08","1870","The Queen | Princess Louise | Prince Leopold"
"53",2583,"The Princess of Wales drove out yesterday , attended by Viscountess Walden .","1870-10-26","1870","The Princess of Wales | Viscountess Walden"
"54",1839,"Princess Louise , attended by Lady Churchill and Colonel Du Plat , was present at the Ball given by the Prince and Princess of Wales at Marlborough House .","1870-03-12","1870","Princess Louise | Lady Churchill | Colonel Du Plat | Ball | Prince | Princess of Wales | Marlborough House"
"55",211,"The Queen , accompanied by Princess Louise and Madam Van de Weyer , drove out yesterday afternoon , and Her Majesty walked and drove this morning with Princess Louise .","1870-04-30","1870","The Queen | Princess Louise | Madam Van | Weyer | Her Majesty | Princess Louise"
"56",294,"The Right Hon . W. E. Forster arrived at Osborne yes terday , and had the honour of dining with the Queen and the Royal Family .","1870-08-08","1870","The Right Hon | Forster | Osborne | Queen | Royal Family"
"57",1919,"Her Majesty walked and drove in the grounds this morn ing , accompanied by Princess Louise .","1870-03-19","1870","Her Majesty | Princess Louise"
"58",763,"A meeting of the Governors of Wellington College was held on Wednesday in the Palace of Westminster . Pre sent , His Royal Highness the Prince of Wales ( President ) , his Grace the Duke of Wellington ( Vice - President ) , his Royal Highness the Duke of Cambridge , Earl Stanhoge , Viscount Everale , the Bishop of Winchester , Lord Chelma ford , Sir John Pattington , Lieutenant - General J. Peel , Sir J. Weir Hogg , Mr. T. Baring , M.P. , Mr. J. Walter , M.P. , Mr. Cox , and the Rev. G. R. Gleig , M.A. Colonel the Hon , W. P. Talbot Chon , secretary ) , Dr. Benson ( the Hoad Master ) , and Mr. Chance ( the secretary ) also attended .","1870-02-18","1870","Governors of Wellington College | Wednesday | Palace of Westminster | Pre | His Royal Highness | Prince of Wales | President | Grace | Duke of Wellington | Vice | President | Royal Highness | Duke of Cambridge | Earl Stanhoge | Viscount Everale | Bishop of Winchester | Lord Chelma | Sir John Pattington | Lieutenant | General J | Peel | Sir J | Weir Hogg | Mr | Baring | Mr | Walter | Mr | Cox | Rev | Gleig | Colonel | Hon | Talbot Chon | Dr | Benson | Hoad Master | Mr | Chance"
"59",80,"Princess Blanche of Orleans has left the Castle , attended by Mdlle . St. Aubyn .","1870-04-11","1870","Princess Blanche of Orleans | Castle | Mdlle | St | Aubyn"
"60",771,"The suite in attendance consisted of the Dowager Duchess of Athole , the Hon . Caroline Cavendish , General the Hon . C. Grey , Viscount Bridport , Colonel the Hon . A. Har dinge , C.B. , Mr. Duckworth , and Mr. Sahl .","1870-02-19","1870","The | Dowager Duchess of Athole | Hon | Caroline Cavendish | General | Hon | Grey | Viscount Bridport | Colonel | Hon | Har | Mr | Duckworth | Mr | Sahl"
"61",2272,"His Royal Highness went afterwards to St. Bartholo mew's Hospital ( of which he is President ) and minutely inspected all the wards .","1870-05-24","1870","His Royal Highness | St | Bartholo | Hospital | President"
"62",177,"The Prince and Princess of Wales , accompanied by Prince Albert Victor , Prince George , and Princess Louise , and at tended by the Hon . Mrs. Stonor and Major Grey , returned to Marlborough - house yesterday from visiting the Queen at Osborue .","1870-04-21","1870","The Prince | Princess of Wales | Prince Albert Victor | Prince George | Princess Louise | Hon | Mrs | Stonor | Major Grey | Marlborough | Queen | Osborue"
"63",931,"The Rev. G. Prothero preached the sermon .","1870-01-17","1870","The Rev | Prothero"
"64",1132,"Prince and Princess Christian dined with the Queen yes terday .","1870-07-11","1870","Prince | Princess Christian | Queen"
"65",193,"The Queen walked and drove this morning , accompanied by Princess Louise .","1870-04-26","1870","The Queen | Princess Louise"
"66",389,"The Prince and Princess of Wales , attended by the Hon . Mrs. Hardinge , dined with the Queen last night .","1870-08-24","1870","The Prince | Princess of Wales | Hon | Mrs | Hardinge | Queen"
"67",368,"WINDSOR OASTLE , AUG . 17 . The Queen and Princess Beatrice went out in the grounde this morning .","1870-08-18","1870","The Queen | Princess Beatrice"
"68",2148,"The fourth carriage conveyed Viscountess Clifden ( Lady of the Bedchamber ) , the Earl of Bessborough ( Lord Steward ) , the Marquis of Ailesbury , K.G. ( Master of the Horse ) , and Major - General F. H. Seymour ( Equerry in Waiting ) .","1870-05-12","1870","The | Viscountess Clifden | Lady of | Bedchamber | Earl of Bessborough | Lord Steward | Marquis of Ailesbury | Master of | Horse | Major | General F | Seymour | Equerry | Waiting"
"69",48,"The Countess of Caledon has succeeded Lady Churchill as Lady in Waiting .","1870-04-06","1870","The Countess of Caledon | Lady Churchill | Lady | Waiting"
"70",562,"WINDSOR CASTLE , DEC . 17 . Her Majesty's dinner party yesterday included her Royal Highness Princess Louise , the Marquis of Lorne , the Dean of Westminster and Lady Augusta Stanley , and the Dean of Windsor and the Hon . Mrs. Wellesley .","1870-12-19","1870","Her Majesty | Royal Highness Princess Louise | Marquis of Lorne | Dean of Westminster | Lady Augusta Stanley | Dean of Windsor | Hon | Mrs | Wellesley"
"71",102,"The Princess of Wales drove out , attended by the Hon . Mrs. Stonor .","1870-04-12","1870","The Princess of Wales | Hon | Mrs | Stonor"
"72",420,"The Queen went out in the morning , attended by Lady Churchill .","1870-08-30","1870","The Queen | Lady Churchill"
"73",1838,"BUCKINGHAM PALACE , MARCH 11 . The Royal dinner party last evening included their Royal Highnesses Prince and Princess Christian and Princess Louise , his Royal flighness the Duke of Cambridge , the Earl and Countess of Besshorough , the Earl of Derby , and the Earl of Clanwilliam .","1870-03-12","1870","The Royal | Royal Highnesses Prince | Princess Christian | Princess Louise | Royal | Duke of Cambridge | Earl | Countess of Besshorough | Earl of Derby | Earl of Clanwilliam"
"74",691,"The Queen went out driving .","1870-02-09","1870","The Queen"
"75",1478,"The Right Hon . R. Lowe left the Castle this morning .","1870-03-04","1870","The Right Hon | Lowe | Castle"
