"text","entity","label"
"The Rev. Dr. Taylor had the honour of dining with Her Majesty .","Rev. Dr. Taylor","PERSON"
"The Rev. Dr. Taylor had the honour of dining with Her Majesty .","Her Majesty","PERSON"
"Prince Leopold walked in the grounds , attended by Mr. Duckworth .","Prince Leopold","PERSON"
"Prince Leopold walked in the grounds , attended by Mr. Duckworth .","Mr. Duckworth","PERSON"
"The Queen drove out yesterday afternoon , accompanied","The Queen","PERSON"
"OSBORNE , AUG . 2 . The Quran an ! Pireas Beatrice drove out yesterday afternoon , attended by Viscountess Clifden ; and Her Majesty walked in the grounds this morning with Princesa Louise and Prince Arthur .","The Quran","PERSON"
"OSBORNE , AUG . 2 . The Quran an ! Pireas Beatrice drove out yesterday afternoon , attended by Viscountess Clifden ; and Her Majesty walked in the grounds this morning with Princesa Louise and Prince Arthur .","Pireas Beatrice","PERSON"
"OSBORNE , AUG . 2 . The Quran an ! Pireas Beatrice drove out yesterday afternoon , attended by Viscountess Clifden ; and Her Majesty walked in the grounds this morning with Princesa Louise and Prince Arthur .","Viscountess Clifden","PERSON"
"OSBORNE , AUG . 2 . The Quran an ! Pireas Beatrice drove out yesterday afternoon , attended by Viscountess Clifden ; and Her Majesty walked in the grounds this morning with Princesa Louise and Prince Arthur .","Her Majesty","PERSON"
"OSBORNE , AUG . 2 . The Quran an ! Pireas Beatrice drove out yesterday afternoon , attended by Viscountess Clifden ; and Her Majesty walked in the grounds this morning with Princesa Louise and Prince Arthur .","Princesa Louise","PERSON"
"OSBORNE , AUG . 2 . The Quran an ! Pireas Beatrice drove out yesterday afternoon , attended by Viscountess Clifden ; and Her Majesty walked in the grounds this morning with Princesa Louise and Prince Arthur .","Prince Arthur","PERSON"
"Despatches were received yesterday at the Colonini Office from the Governors of the Australian Colonies and the North American Provinces . Despatches were sent to","Governors of the Australian Colonies","PERSON"
"The King of the Belgians , his Royal Highness Duke Philip of Würtemberg , and her Imperial Highness the Archdachess Thérèse , visited the Prince and Princess of Wales , at Marlborough House , and remained to luncheon .","The King of the Belgians","PERSON"
"The King of the Belgians , his Royal Highness Duke Philip of Würtemberg , and her Imperial Highness the Archdachess Thérèse , visited the Prince and Princess of Wales , at Marlborough House , and remained to luncheon .","his Royal Highness Duke Philip of Würtemberg","PERSON"
"The King of the Belgians , his Royal Highness Duke Philip of Würtemberg , and her Imperial Highness the Archdachess Thérèse , visited the Prince and Princess of Wales , at Marlborough House , and remained to luncheon .","her Imperial Highness the Archdachess Thérèse","PERSON"
"The King of the Belgians , his Royal Highness Duke Philip of Würtemberg , and her Imperial Highness the Archdachess Thérèse , visited the Prince and Princess of Wales , at Marlborough House , and remained to luncheon .","Prince","PERSON"
"The King of the Belgians , his Royal Highness Duke Philip of Würtemberg , and her Imperial Highness the Archdachess Thérèse , visited the Prince and Princess of Wales , at Marlborough House , and remained to luncheon .","Princess of Wales","PERSON"
"BALMORAL CASTLE , MAY 21 . The Queen arrived at Balmoral yesterday afternoon at a quarter after 3 o'clock , accompanied by Princess Louise and Princess Beatrice , and attended by the Duchess Dowager of Athole , the Hon . Harriet Phipps , Malle . Norele , Sir Thomas Biddulph , Lord Charles Fitzroy , Mr. Sahl , and Dr. Hoffmeister .","The Queen","PERSON"
"BALMORAL CASTLE , MAY 21 . The Queen arrived at Balmoral yesterday afternoon at a quarter after 3 o'clock , accompanied by Princess Louise and Princess Beatrice , and attended by the Duchess Dowager of Athole , the Hon . Harriet Phipps , Malle . Norele , Sir Thomas Biddulph , Lord Charles Fitzroy , Mr. Sahl , and Dr. Hoffmeister .","Princess Louise","PERSON"
"BALMORAL CASTLE , MAY 21 . The Queen arrived at Balmoral yesterday afternoon at a quarter after 3 o'clock , accompanied by Princess Louise and Princess Beatrice , and attended by the Duchess Dowager of Athole , the Hon . Harriet Phipps , Malle . Norele , Sir Thomas Biddulph , Lord Charles Fitzroy , Mr. Sahl , and Dr. Hoffmeister .","Princess Beatrice","PERSON"
"BALMORAL CASTLE , MAY 21 . The Queen arrived at Balmoral yesterday afternoon at a quarter after 3 o'clock , accompanied by Princess Louise and Princess Beatrice , and attended by the Duchess Dowager of Athole , the Hon . Harriet Phipps , Malle . Norele , Sir Thomas Biddulph , Lord Charles Fitzroy , Mr. Sahl , and Dr. Hoffmeister .","Duchess Dowager of Athole","PERSON"
"BALMORAL CASTLE , MAY 21 . The Queen arrived at Balmoral yesterday afternoon at a quarter after 3 o'clock , accompanied by Princess Louise and Princess Beatrice , and attended by the Duchess Dowager of Athole , the Hon . Harriet Phipps , Malle . Norele , Sir Thomas Biddulph , Lord Charles Fitzroy , Mr. Sahl , and Dr. Hoffmeister .","Hon . Harriet Phipps","PERSON"
"BALMORAL CASTLE , MAY 21 . The Queen arrived at Balmoral yesterday afternoon at a quarter after 3 o'clock , accompanied by Princess Louise and Princess Beatrice , and attended by the Duchess Dowager of Athole , the Hon . Harriet Phipps , Malle . Norele , Sir Thomas Biddulph , Lord Charles Fitzroy , Mr. Sahl , and Dr. Hoffmeister .","Malle . Norele","PERSON"
"BALMORAL CASTLE , MAY 21 . The Queen arrived at Balmoral yesterday afternoon at a quarter after 3 o'clock , accompanied by Princess Louise and Princess Beatrice , and attended by the Duchess Dowager of Athole , the Hon . Harriet Phipps , Malle . Norele , Sir Thomas Biddulph , Lord Charles Fitzroy , Mr. Sahl , and Dr. Hoffmeister .","Sir Thomas Biddulph","PERSON"
"BALMORAL CASTLE , MAY 21 . The Queen arrived at Balmoral yesterday afternoon at a quarter after 3 o'clock , accompanied by Princess Louise and Princess Beatrice , and attended by the Duchess Dowager of Athole , the Hon . Harriet Phipps , Malle . Norele , Sir Thomas Biddulph , Lord Charles Fitzroy , Mr. Sahl , and Dr. Hoffmeister .","Lord Charles Fitzroy","PERSON"
"BALMORAL CASTLE , MAY 21 . The Queen arrived at Balmoral yesterday afternoon at a quarter after 3 o'clock , accompanied by Princess Louise and Princess Beatrice , and attended by the Duchess Dowager of Athole , the Hon . Harriet Phipps , Malle . Norele , Sir Thomas Biddulph , Lord Charles Fitzroy , Mr. Sahl , and Dr. Hoffmeister .","Mr. Sahl","PERSON"
